Y,Peak_Force_X1,Peak_Force_X2,Peak_Force_Y1,Peak_Force_Y2,Peak_Force_Z1,Peak_Force_Z2,Mean_Force_X1,Mean_Force_X2,Mean_Force_Y1,Mean_Force_Y2,Mean_Force_Z1,Mean_Force_Z2,Mean_FTI_Left,Mean_FTI_Right,Step_Duration,Average_Loading_Rate_Left,Average_Loading_Rate_Right,Average_Unloading_Rate_Left,Average_Unloading_Rate_Right,Time_To_Peak_Force_Left,Time_To_Peak_Force_Right,Double_Support_Time,Stance_Duration,Swing_Duration,FFT_Mean_Left,FFT_std_Left,FFT_Max_Left,FFT_Mean_Right,FFT_std_Right,FFT_Max_Right,PSD_Peak_Freq_Left,PSD_Total_Power_Left,PSD_Band_Ratio_Left,PSD_Peak_Freq_Right,PSD_Total_Power_Right,PSD_Band_Ratio_Right,Harmonic_Ratio_Left,Harmonic_Ratio_Right
1,100.847366,74.404259,14.670183,57.024948,839.059692,844.028748,-1.4334276037892166,-2.2373518112881188,-19.08265627107522,20.21384828340224,574.1681494540413,562.6357467115079,636.4302824750109,608.0952503879166,0.7895866666666667,1785.9730867622438,2067.013189859772,1549.6895179923592,1400.2225289911437,0.5084736842105263,0.4431891891891891,0.3056315789473684,1.0944548364153626,0.4864455903271693,3159.2693820198465,163187.46110208443,24229741.560492,3050.343132289152,157392.5389767073,23136917.394989,0.6333333333333333,7032396.556842627,0.06371589385115249,0.6333333333333333,6923403.464992839,0.05949670102143117,180.8122110932354,141.1736788283662
1,126.00029,141.687241,26.62674,54.211174,873.454712,847.948303,-0.5074686695566717,-3.3818317408301706,-20.10945619742108,21.2325863036226,586.4405828328255,576.6953997163924,622.8509857486009,596.9438230044077,0.7742207792207793,1615.1399410517765,1897.3583938224838,2015.2946494991859,1705.5593183750466,0.5806315789473685,0.4905,0.2750519480519481,1.0485263157894738,0.5006315789473684,4147.6601490343955,162616.43759876958,24040354.649763,3584.0060643542793,158798.627571228,23359370.594644,0.65,7219406.845673085,0.07697671441188303,0.65,7080425.823267923,0.07130390413599191,125.61620119914349,129.04774368104862
1,129.394043,105.776123,18.56126,56.38142,843.106689,818.62262,-1.9070328821171176,-1.9087181722034174,-20.895519275560755,23.264141928657992,591.1665626316849,589.7842998540032,559.690889578661,520.6099506691761,0.6918352941176471,1973.9074918281044,1938.3552349745974,2232.862389163021,2323.559043660882,0.5019767441860464,0.4834772727272728,0.24189655172413796,0.9179955073995771,0.4518274312896406,4908.771834990599,164234.87559301883,24355538.11885,4720.808614563101,157140.51921202787,23029815.403805003,0.7333333333333333,7252272.5765164215,0.09148487148670748,0.7333333333333333,7064942.260020995,0.08443306564389973,144.2760307417387,113.10082955607243
1,145.760971,121.23555,22.587358,60.817112,851.87854,846.287903,-1.6822738437898226,-2.25683585858538,-23.261625643032197,24.438604054678677,600.9213299723167,590.0963865250037,520.753623972036,501.9403026699815,0.6480549450549451,1658.1155606895773,1743.2043348506684,3146.3056210338773,2961.773927159871,0.5584782608695652,0.5378666666666667,0.2103260869565218,0.8583731884057971,0.4459243961352657,4183.95496376625,162684.70379444933,24006756.535198,4326.934478805878,158981.59816212495,23365870.208720997,0.7666666666666666,7279820.536803068,0.10266647263068197,0.7666666666666666,7122701.759339194,0.09426722895109949,242.6754834199329,199.91374506373737
1,159.462677,123.635544,25.165012,63.069542,861.700928,871.806641,-0.08842276032937174,-3.2658916962129845,-21.54342190944854,22.080558134195357,597.5995998299915,599.7421211217605,476.3963806832602,478.4439713147007,0.6047010309278351,1790.3068943570468,1459.7950249107048,3583.6968662381187,3715.014416427745,0.522734693877551,0.572204081632653,0.1929292929292929,0.7974081632653061,0.4196428571428571,4396.882020481146,160329.72304212913,23530040.182607,4458.808176435022,161959.8214297251,23900011.324545,0.8333333333333334,7238117.021020522,0.10586904229046745,0.8333333333333334,7228988.385636802,0.11282945677950997,154.06144056586476,159.9382601905005
1,155.860153,140.120224,23.317715,58.786793,884.695313,852.158325,-2.6124261295541635,-1.6848664232251696,-21.19907463981608,22.51586030836746,606.1346835925945,603.4334795721558,480.93861884626534,462.3162286696133,0.591111111111111,1830.2040863092657,1991.0594681674413,3895.2976913538314,3719.385310732797,0.5416326530612245,0.5108,0.1786363636363637,0.7819175510204082,0.41482061224489797,4780.757340479083,162915.5464345105,24045671.731476,4487.49101343501,159276.86874578273,23375000.148282997,0.85,7247455.717030904,0.12213714463564246,0.85,7222391.433228482,0.13029680845596575,82.50260163299106,84.50861740802694
1,184.820251,155.623337,36.001499,72.058983,909.212341,900.406311,-1.3705522225080193,-2.353386815906194,-20.83483353466603,20.997628502504842,605.2963025960198,600.0011404669602,461.5807808242238,441.36591419005504,0.5764563106796117,1765.7546253182015,1648.6009756121439,4648.114769093301,4327.342235089429,0.5588431372549019,0.5335471698113208,0.17522115384615383,0.7517637809840918,0.3931929337772845,3589.7793263217927,163159.5853222402,24054848.973903,3318.8587811458597,159483.73039844082,23396136.243446,0.8833333333333333,7391932.916398914,0.15239511563107327,0.8833333333333333,7192725.240320942,0.1392698813665983,463.4151589429328,484.21450784925133
1,201.474701,173.583755,38.299873,70.80011,928.710754,907.597839,-0.614681992808856,-2.8878143700504615,-21.621076547697896,22.118397936676004,610.2120339298003,606.6410548483993,456.8925945729871,441.23029407388617,0.5624271844660194,1562.283557907485,2193.837532570938,5073.5574367469335,4282.274521042048,0.5595384615384614,0.4872500000000001,0.17848076923076925,0.7411923076923077,0.40329807692307695,5251.192270217992,162217.4017431948,23862274.785683,4826.402784286887,160856.105148517,23618773.205945,0.8833333333333333,7365184.923618068,0.1683139903311598,0.8833333333333333,7253154.702696554,0.16758557353480338,202.80623611586117,222.12599538734287
1,198.731171,176.733154,44.366531,71.804169,982.429504,971.845459,-0.7131567402067737,-2.1296495580540657,-19.628568237020758,20.116511737339675,586.0485517157638,607.0056446443282,393.6379603282417,406.7067166177602,0.4909217391304348,2561.3227320080455,3256.123645727363,4556.739462045886,3998.4183901289807,0.41904999999999987,0.3824561403508772,0.13717391304347826,0.6563565789473684,0.35910701754385965,4615.173026806774,163338.370945229,23993552.264848,4408.135773406562,160658.12599841543,23529266.686938,0.9666666666666667,7496967.771295352,0.20246316616891583,0.9666666666666667,7334463.520712476,0.19449279501739175,650.3174265522966,635.8040696421699
1,231.008179,205.949417,33.744583,81.41436,952.606079,1025.846313,-1.0743490214764715,-2.5132417747740243,-21.953822825694974,21.907333643233134,619.4511100410803,604.9750715428919,437.500386241503,416.809936695811,0.5496355140186915,3367.176571302503,4146.361044958626,4274.991009917453,3447.8169282672243,0.40120370370370373,0.3303392857142858,0.16738532110091744,0.6970188492063492,0.385093253968254,5113.066731539777,162854.25773753657,23913052.985363998,5059.909614447106,161224.36845985285,23583846.658112,0.9333333333333333,7401117.400065338,0.2147531671400054,0.9333333333333333,7476774.7628362905,0.23243906316187915,143.33377309401533,183.20037982956214
